time,isobaricInhPa,latitude_x,longitude_x,temperature,geopotential,specific_humidity,geopotential_height
01-01-2024,1000,26.75,84.5,287.3706,1403.0676,0.008453938,143.0242202
01-01-2024,925,26.75,84.5,285.89087,7865.332,0.007924181,801.7667686
01-01-2024,900,26.75,84.5,285.29053,10121.797,0.006870025,1031.783588
01-01-2024,850,26.75,84.5,284.2622,14810.191,0.00350763,1509.703466
01-01-2024,800,26.75,84.5,282.22925,19747.54,0.001634507,2013.001019
01-01-2024,700,26.75,84.5,275.812,30461.68,0.001087513,3105.166157
01-01-2024,600,26.75,84.5,267.9922,42498.43,0.00021669,4332.153925
01-01-2024,500,26.75,84.5,258.07568,56273.992,0.000306898,5736.390622
01-01-2024,400,26.75,84.5,244.35869,72335.06,0.000116124,7373.604485
01-01-2024,300,26.75,84.5,237.88075,92217,1.38E-05,9400.30581
01-01-2024,200,26.75,84.5,224.65936,119181.19,7.96E-06,12148.94903
01-01-2024,100,26.75,84.5,203.21826,161466.5,2.44E-06,16459.37819
01-01-2024,70,26.75,84.5,200.22803,182047.12,3.03E-06,18557.30071
01-01-2024,50,26.75,84.5,204.78014,201619.12,3.04E-06,20552.40775
01-01-2024,30,26.75,84.5,213.74287,232584.5,3.04E-06,23708.91947
01-01-2024,20,26.75,84.5,217.9522,257769.38,3.04E-06,26276.18552
01-01-2024,10,26.75,84.5,222.89423,301702.06,3.19E-06,30754.5423
02-01-2024,1000,26.75,84.5,289.86353,1397.0977,0.007823721,142.4156677
02-01-2024,925,26.75,84.5,287.04858,7883.5547,0.005080591,803.6243323
02-01-2024,900,26.75,84.5,286.2583,10144.691,0.004103003,1034.117329
02-01-2024,850,26.75,84.5,284.96826,14840.496,0.001771554,1512.792661
02-01-2024,800,26.75,84.5,282.09448,19780.016,0.001104579,2016.311519
02-01-2024,700,26.75,84.5,276.53662,30490.52,0.000327292,3108.106014
02-01-2024,600,26.75,84.5,267.50464,42533.848,0.000442346,4335.764322
02-01-2024,500,26.75,84.5,257.06393,56252.855,0.00028591,5734.235984
02-01-2024,400,26.75,84.5,250.00887,72532.81,4.18E-05,7393.762487
02-01-2024,300,26.75,84.5,236.49773,92573.69,2.14E-05,9436.665647
02-01-2024,200,26.75,84.5,223.72887,119444.94,8.41E-06,12175.83486
02-01-2024,100,26.75,84.5,203.96716,161629.38,2.40E-06,16475.98165
02-01-2024,70,26.75,84.5,200.30696,182259.06,2.90E-06,18578.9052
02-01-2024,50,26.75,84.5,206.07164,201725.44,3.07E-06,20563.24567
02-01-2024,30,26.75,84.5,213.73885,232693.44,3.02E-06,23720.02446
02-01-2024,20,26.75,84.5,215.78061,257772.69,3.03E-06,26276.52294
02-01-2024,10,26.75,84.5,224.5789,301697.12,3.22E-06,30754.03874
03-01-2024,1000,26.75,84.5,290.31592,1300.332,0.007955785,132.551682
03-01-2024,925,26.75,84.5,287.573,7812.4727,0.007136174,796.3784608
03-01-2024,900,26.75,84.5,286.84204,10080.504,0.005762231,1027.574312
03-01-2024,850,26.75,84.5,284.86377,14785.152,0.002942814,1507.15107
03-01-2024,800,26.75,84.5,281.45166,19724.82,0.004474895,2010.685015
03-01-2024,700,26.75,84.5,274.3921,30404.516,0.002519805,3099.339042
03-01-2024,600,26.75,84.5,266.3374,42392.07,0.000995994,4321.311927
03-01-2024,500,26.75,84.5,258.11383,56067.246,0.000230124,5715.315596
03-01-2024,400,26.75,84.5,249.00139,72342.94,8.13E-05,7374.407747
03-01-2024,300,26.75,84.5,239.22885,92529.375,3.09E-05,9432.148318
03-01-2024,200,26.75,84.5,224.5402,119586.375,9.30E-06,12190.25229
03-01-2024,100,26.75,84.5,199.47972,161724.94,3.08E-06,16485.72273
03-01-2024,70,26.75,84.5,198.90894,182158.25,2.84E-06,18568.62895
03-01-2024,50,26.75,84.5,206.12477,201686.25,3.07E-06,20559.25076
03-01-2024,30,26.75,84.5,215.12854,232522.56,3.01E-06,23702.6055
03-01-2024,20,26.75,84.5,217.89392,257720.12,3.05E-06,26271.16412
03-01-2024,10,26.75,84.5,225.65451,301876.3,3.25E-06,30772.30377
04-01-2024,1000,26.75,84.5,289.65894,1330.8398,0.009443343,135.6615494
04-01-2024,925,26.75,84.5,287.87646,7850.9023,0.007987559,800.2958512
04-01-2024,900,26.75,84.5,287.3894,10123.039,0.006286411,1031.910194
04-01-2024,850,26.75,84.5,284.25317,14835.484,0.007055595,1512.281753
04-01-2024,800,26.75,84.5,281.07202,19770.797,0.0050027,2015.371764
04-01-2024,700,26.75,84.5,274.35498,30440.527,0.001603375,3103.009888
04-01-2024,600,26.75,84.5,268.15454,42446.633,0.000263996,4326.873904
04-01-2024,500,26.75,84.5,258.22882,56248.06,0.000240007,5733.747197
04-01-2024,400,26.75,84.5,247.833,72385.75,6.20E-05,7378.771662
04-01-2024,300,26.75,84.5,233.61792,92229.06,4.08E-05,9401.535168
04-01-2024,200,26.75,84.5,222.97775,118809.31,8.04E-06,12111.04077
04-01-2024,100,26.75,84.5,204.17409,161086.69,2.50E-06,16420.66157
04-01-2024,70,26.75,84.5,200.35754,181732.81,2.85E-06,18525.26096
04-01-2024,50,26.75,84.5,207.78719,201416.94,3.04E-06,20531.79817
04-01-2024,30,26.75,84.5,214.57504,232372.62,3.03E-06,23687.3211
04-01-2024,20,26.75,84.5,215.99634,257456.56,3.04E-06,26244.29766
04-01-2024,10,26.75,84.5,225.05183,301272.12,3.24E-06,30710.7156
05-01-2024,1000,26.75,84.5,290.4641,1458.7815,0.010164196,148.7035168
05-01-2024,925,26.75,84.5,287.37183,7979.6094,0.010135585,813.415841
05-01-2024,900,26.75,84.5,286.2744,10248.148,0.009517841,1044.663405
05-01-2024,850,26.75,84.5,284.5078,14959.492,0.008288686,1524.922732
05-01-2024,800,26.75,84.5,281.3479,19906.098,0.006066124,2029.163914
05-01-2024,700,26.75,84.5,274.55957,30581.5,0.003997008,3117.380224
05-01-2024,600,26.75,84.5,266.56665,42588.29,0.001871882,4341.313965
05-01-2024,500,26.75,84.5,256.91235,56302.24,0.001162562,5739.270133
05-01-2024,400,26.75,84.5,246.06938,72412.94,0.00023331,7381.543323
05-01-2024,300,26.75,84.5,243.23267,92625.56,2.36E-05,9441.953109
05-01-2024,200,26.75,84.5,221.1991,119724.875,2.49E-05,12204.37054
05-01-2024,100,26.75,84.5,200.07364,161280.12,3.45E-06,16440.3792
05-01-2024,70,26.75,84.5,201.25919,181636.81,3.10E-06,18515.47503
05-01-2024,50,26.75,84.5,208.6674,201418.38,3.04E-06,20531.94495
05-01-2024,30,26.75,84.5,212.88548,232370.81,2.97E-06,23687.1366
05-01-2024,20,26.75,84.5,215.72696,257417.06,3.02E-06,26240.27115
05-01-2024,10,26.75,84.5,222.89523,300822.06,3.29E-06,30664.83792
